Energy (MeV),NIEL (MeV cm^2 g^-1)
0.1,0.0
0.15,9.2512e-06
0.2,1.6277e-05
0.25,2.0454e-05
0.3,2.3411e-05
0.35,2.5748e-05
0.4,2.773e-05
0.45,2.9486e-05
0.5,3.1088e-05
0.55,3.2576e-05
0.6,3.3977e-05
0.65,3.5306e-05
0.7,3.6575e-05
0.75,3.7792e-05
0.8,3.8963e-05
0.85,4.0093e-05
0.9,4.1186e-05
0.95,4.2244e-05
1.0,4.327e-05
1.5,5.2139e-05
2.0,5.919e-05
2.5,6.5024e-05
3.0,6.9981e-05
3.5,7.4279e-05
4.0,7.8064e-05
4.5,8.1438e-05
5.0,8.4478e-05
5.5,8.7239e-05
6.0,8.9764e-05
6.5,9.2089e-05
7.0,9.424e-05
7.5,9.6239e-05
8.0,9.8105e-05
8.5,9.9852e-05
9.0,0.00010149
9.5,0.00010304
10.0,0.0001045
15.0,0.00011573
20.0,0.00012319
25.0,0.00012853
30.0,0.00013253
35.0,0.00013559
40.0,0.00013799
45.0,0.00013988
50.0,0.00014139
55.0,0.0001426
60.0,0.00014358
65.0,0.00014437
70.0,0.00014502
75.0,0.00014555
80.0,0.00014599
85.0,0.00014635
90.0,0.00014665
95.0,0.0001469
100.0,0.0001471
150.0,0.00014798
200.0,0.00014811
250.0,0.00014808
300.0,0.00014802
350.0,0.00014795
400.0,0.00014788
450.0,0.00014783
500.0,0.00014778
550.0,0.00014774
600.0,0.0001477
650.0,0.00014766
700.0,0.00014763
750.0,0.00014761
800.0,0.00014758
850.0,0.00014756
900.0,0.00014754
950.0,0.00014753
1000.0,0.00014751
1500.0,0.0001474
2000.0,0.00014735
2500.0,0.00014731
3000.0,0.00014729
3500.0,0.00014727
4000.0,0.00014726
4500.0,0.00014725
5000.0,0.00014724
5500.0,0.00014723
6000.0,0.00014723
6500.0,0.00014722
7000.0,0.00014722
7500.0,0.00014721
8000.0,0.00014721
8500.0,0.00014721
9000.0,0.0001472
9500.0,0.0001472
10000.0,0.0001472
