Energy (MeV),NIEL (MeV cm^2 g^-1)
0.1,0.0
0.15,0.0
0.2,0.0
0.25,0.0
0.3,1.3023e-07
0.35,2.4593e-06
0.4,4.4991e-06
0.45,6.343e-06
0.5,8.044e-06
0.55,9.6341e-06
0.6,1.1134e-05
0.65,1.256e-05
0.7,1.392e-05
0.75,1.5223e-05
0.8,1.6475e-05
0.85,1.7682e-05
0.9,1.8846e-05
0.95,1.9971e-05
1.0,2.106e-05
1.5,3.04e-05
2.0,3.7743e-05
2.5,4.3774e-05
3.0,4.8874e-05
3.5,5.328e-05
4.0,5.7149e-05
4.5,6.0592e-05
5.0,6.3687e-05
5.5,6.6494e-05
6.0,6.906e-05
6.5,7.1418e-05
7.0,7.3599e-05
7.5,7.5624e-05
8.0,7.7513e-05
8.5,7.928e-05
9.0,8.094e-05
9.5,8.2504e-05
10.0,8.398e-05
15.0,9.531e-05
20.0,0.00010282
25.0,0.00010819
30.0,0.0001122
35.0,0.00011528
40.0,0.00011769
45.0,0.00011959
50.0,0.00012111
55.0,0.00012232
60.0,0.00012331
65.0,0.00012411
70.0,0.00012476
75.0,0.00012529
80.0,0.00012573
85.0,0.0001261
90.0,0.0001264
95.0,0.00012665
100.0,0.00012686
150.0,0.00012775
200.0,0.00012788
250.0,0.00012785
300.0,0.00012779
350.0,0.00012772
400.0,0.00012766
450.0,0.0001276
500.0,0.00012756
550.0,0.00012751
600.0,0.00012748
650.0,0.00012744
700.0,0.00012741
750.0,0.00012739
800.0,0.00012736
850.0,0.00012734
900.0,0.00012732
950.0,0.00012731
1000.0,0.00012729
1500.0,0.00012718
2000.0,0.00012713
2500.0,0.00012709
3000.0,0.00012707
3500.0,0.00012705
4000.0,0.00012704
4500.0,0.00012703
5000.0,0.00012702
5500.0,0.00012701
6000.0,0.00012701
6500.0,0.000127
7000.0,0.000127
7500.0,0.00012699
8000.0,0.00012699
8500.0,0.00012699
9000.0,0.00012699
9500.0,0.00012698
10000.0,0.00012698
