Energy (MeV),NIEL (MeV cm^2 g^-1)
0.1,0.0
0.15,0.0
0.2,0.0
0.25,2.4793e-06
0.3,5.8524e-06
0.35,8.5425e-06
0.4,1.0822e-05
0.45,1.2831e-05
0.5,1.4649e-05
0.55,1.6323e-05
0.6,1.7886e-05
0.65,1.9358e-05
0.7,2.0753e-05
0.75,2.2082e-05
0.8,2.3354e-05
0.85,2.4575e-05
0.9,2.5749e-05
0.95,2.6882e-05
1.0,2.7977e-05
1.5,3.7308e-05
2.0,4.4611e-05
2.5,5.0604e-05
3.0,5.5671e-05
3.5,6.005e-05
4.0,6.3896e-05
4.5,6.7319e-05
5.0,7.0398e-05
5.5,7.3192e-05
6.0,7.5745e-05
6.5,7.8093e-05
7.0,8.0264e-05
7.5,8.228e-05
8.0,8.4161e-05
8.5,8.5922e-05
9.0,8.7576e-05
9.5,8.9134e-05
10.0,9.0605e-05
15.0,0.0001019
20.0,0.00010939
25.0,0.00011475
30.0,0.00011876
35.0,0.00012183
40.0,0.00012423
45.0,0.00012613
50.0,0.00012764
55.0,0.00012886
60.0,0.00012984
65.0,0.00013064
70.0,0.00013129
75.0,0.00013182
80.0,0.00013226
85.0,0.00013263
90.0,0.00013293
95.0,0.00013317
100.0,0.00013338
150.0,0.00013427
200.0,0.0001344
250.0,0.00013437
300.0,0.00013431
350.0,0.00013424
400.0,0.00013418
450.0,0.00013412
500.0,0.00013407
550.0,0.00013403
600.0,0.00013399
650.0,0.00013396
700.0,0.00013393
750.0,0.0001339
800.0,0.00013388
850.0,0.00013386
900.0,0.00013384
950.0,0.00013382
1000.0,0.0001338
1500.0,0.0001337
2000.0,0.00013364
2500.0,0.00013361
3000.0,0.00013358
3500.0,0.00013357
4000.0,0.00013355
4500.0,0.00013354
5000.0,0.00013353
5500.0,0.00013353
6000.0,0.00013352
6500.0,0.00013352
7000.0,0.00013351
7500.0,0.00013351
8000.0,0.00013351
8500.0,0.0001335
9000.0,0.0001335
9500.0,0.0001335
10000.0,0.0001335
